date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-30 23:30:00,JoeBiden,,753,428,1381,"Tomorrow marks our end-of-year fundraising deadline and we need your help to reach our goal. Our campaign relies on supporters like you giving $5, $10, $20 at a time. Chip in to help us end the year on a strong note: https://joe.link/2ZBAPIw pic.twitter.com/bfTcNfh9Bx",,,,1211791575270866945,https://twitter.com/JoeBiden/status/1211791575270866945
2019-12-30 22:15:00,JoeBiden,,477,729,3136,"Health care should be more than just a luxury reserved for those who can afford it. It’s a right we all deserve – one that is central to our dignity, and to who we want to be as a country.https://www.concordmonitor.com/My-Turn-Biden-31528775 …",,,,1211772701095944195,https://twitter.com/JoeBiden/status/1211772701095944195
2019-12-30 19:45:00,JoeBiden,,2117,2418,10985,"My dad had a saying: “Joey, the greatest sin of all is the abuse of power.” Right now, our democracy is at risk. We’ve got to come together and fight back against Donald Trump — Democrats, Republicans, Independents alike.pic.twitter.com/uZBwyJFD9V",,,,1211734952263352320,https://twitter.com/JoeBiden/status/1211734952263352320
2019-12-30 17:22:00,JoeBiden,,1059,1869,8628,"Scripture is clear: It’s not enough to just wish the world were better. It’s our duty to make it so—including by leading the world in addressing the climate crisis and providing a roadmap to citizenship for those contributing to our communities.https://religionnews.com/2019/12/29/faith-to-restore-the-soul-of-our-nation/ …",,,,1211698965441372160,https://twitter.com/JoeBiden/status/1211698965441372160
2019-12-30 01:57:04,JoeBiden,CNN,259,2267,14479,"Congressman Lewis has always fought in the name of building a more just, more fair country. If there's anybody who can take the fight to cancer, it's you, John. Jill and I are sending our prayers to you and your family. Keep the faith, and keep up the fight.https://twitter.com/CNN/status/1211429200239964161 …",,,,1211466200909336576,https://twitter.com/JoeBiden/status/1211466200909336576
2019-12-29 21:49:00,JoeBiden,,1343,2446,10690,"No one in America should work full time and live below the poverty line. It’s past time we raise the minimum wage to $15 an hour and provide a reliable pathway to the middle class.https://www.usatoday.com/story/money/2019/12/23/minimum-wage-hike-2020-pay-floor-rise-21-states-jan-1/2709875001/?fbclid=IwAR3eiy2l3k12YCvqBSw8sKdaT0Yd-j_OsAMX8nQy-pLRIoIO_OlIo9Qn_zo …",,,,1211403770027839489,https://twitter.com/JoeBiden/status/1211403770027839489
2019-12-29 17:06:00,JoeBiden,,1944,3599,14257,"Donald Trump will stop at nothing to sabotage Obamacare and roll back the progress we've made. We have to protect the ACA and build on it to ensure every American has access to quality, affordable care.pic.twitter.com/kpR8YxOFMY",,,,1211332550775304193,https://twitter.com/JoeBiden/status/1211332550775304193
2019-12-29 15:16:46,JoeBiden,nytimes,650,3277,15868,"The horrifying rise of antisemitism is tearing apart the fabric of our communities and the soul of this nation. We've got to stand together as a country and fight these flames of hatred. My deepest sympathies are with the victims, their families, and the Jewish community.https://twitter.com/nytimes/status/1211294740685185029 …",,,,1211305062280118274,https://twitter.com/JoeBiden/status/1211305062280118274
2019-12-28 16:30:00,JoeBiden,,3840,3712,19376,"Our democracy is in trouble. We’re at the breaking point. And we need a president who will rise above the personal attacks and reach out to unite this nation. If we come together and act as one America, there's nothing we can’t accomplish.",,,,1210961103955447808,https://twitter.com/JoeBiden/status/1210961103955447808
2019-12-28 15:33:08,JoeBiden,,3874,3735,25573,"The subpoenas should go to witnesses with testimony to offer to Trump’s shaking down the Ukraine government — they should go to the White House.",,,,1210946792369610752,https://twitter.com/JoeBiden/status/1210946792369610752
