date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-12-31 21:24:51,JustinTrudeau,,973,1456,9948,"Happy New Year! I want to wish all Canadians good health and happiness in 2019, I hope you have a safe and fun celebration with family & friends tonight.https://pm.gc.ca/eng/news/2018/12/31/statement-prime-minister-mark-new-year …",,,,1079850897612652545,https://twitter.com/JustinTrudeau/status/1079850897612652545
2018-12-31 21:24:08,JustinTrudeau,,53,128,671,"Bonne année! Je tiens à souhaiter à tous les Canadiens la santé et le bonheur en 2019. J’espère que ce soir, vous fêtez avec votre famille et vos amis dans le plaisir et en toute sécurité.https://pm.gc.ca/fra/nouvelles/2018/12/31/declaration-du-premier-ministre-loccasion-du-nouvel …",,,,1079850719392481287,https://twitter.com/JustinTrudeau/status/1079850719392481287
2018-12-31 19:35:51,JustinTrudeau,,218,286,1375,"Tomorrow, we hand over the @G7 presidency to France for 2019. Here’s a look at some of what we achieved during Canada’s turn at the helm - taking action to create jobs, grow our economy and protect our planet. https://pm.gc.ca/eng/news/2018/12/31/canada-concludes-successful-g7-presidency …",,@G7,,1079823469733445633,https://twitter.com/JustinTrudeau/status/1079823469733445633
2018-12-31 19:34:58,JustinTrudeau,,17,50,244,"Demain, nous allons céder la présidence du @G7fr à la France pour 2019. Voyez quelques-unes des réalisations du G7 au chapitre de l’emploi, de la croissance économique et de la protection de la planète, pendant que le Canada était à sa barre.https://pm.gc.ca/fra/nouvelles/2018/12/31/canada-conclut-presidence-du-g7-reussie …",,@G7fr,,1079823245069770755,https://twitter.com/JustinTrudeau/status/1079823245069770755
2018-12-31 17:41:04,JustinTrudeau,JustinTrudeau,850,1010,5864,"In 2018, we kept our commitment to fight organized crime and keep our kids safer by legalizing and strictly regulating cannabis.https://twitter.com/JustinTrudeau/status/1052542290860883968 …",,,,1079794580164206593,https://twitter.com/JustinTrudeau/status/1079794580164206593
2018-12-31 17:40:18,JustinTrudeau,JustinTrudeau,41,38,284,"En 2018, nous avons tenu notre engagement à lutter contre le crime organisé et à accroître la sécurité de nos enfants en légalisant et en réglementant rigoureusement le cannabis.https://twitter.com/JustinTrudeau/status/1052542032630177792 …",,,,1079794387092000768,https://twitter.com/JustinTrudeau/status/1079794387092000768
2018-12-29 21:59:12,JustinTrudeau,JustinTrudeau,1604,1277,6820,"The strength of an economy is about more than just numbers. It’s about people feeling more confident in their families’ futures. We’re working every day to keep building a Canada where everyone has a better chance to succeed.https://twitter.com/JustinTrudeau/status/1071111822084882432 …",,,,1079134768132894720,https://twitter.com/JustinTrudeau/status/1079134768132894720
2018-12-29 21:58:36,JustinTrudeau,JustinTrudeau,62,59,419,"La force d’une économie ne se mesure pas seulement en chiffres. Elle permet de rendre les gens plus confiants face à l’avenir de leur famille. Tous les jours, nous continuons à bâtir un Canada où tout le monde a de meilleures chances de réussir.https://twitter.com/JustinTrudeau/status/1071111592954290176 …",,,,1079134617863520256,https://twitter.com/JustinTrudeau/status/1079134617863520256
2018-12-28 18:59:22,JustinTrudeau,JustinTrudeau,810,760,4137,"Protecting and enhancing your retirement. That’s what our plan to strengthen the Canada Pension Plan is all about.https://twitter.com/JustinTrudeau/status/1022617865952931846 …",,,,1078727122103996418,https://twitter.com/JustinTrudeau/status/1078727122103996418
2018-12-28 18:59:07,JustinTrudeau,JustinTrudeau,29,55,295,"Protéger et améliorer votre retraite. Voilà en quoi consiste notre plan visant à renforcer le Régime de pensions du Canada.https://twitter.com/JustinTrudeau/status/1022617801100541953 …",,,,1078727059172659200,https://twitter.com/JustinTrudeau/status/1078727059172659200
