date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-05-17 23:48:38,JustinTrudeau,,106,557,1629,"Honoured to welcome the Aga Khan today for a productive visit focused on diversity, pluralism and human rights.pic.twitter.com/HPKvf3XLo9",,,,732719508725587969,https://twitter.com/JustinTrudeau/status/732719508725587969
2016-05-17 23:45:22,JustinTrudeau,,8,72,241,"Honoré de recevoir l’Aga Khan pour une visite fructueuse axée sur la diversité, le pluralisme et les droits humains.pic.twitter.com/H9FCAYGEAf",,,,732718686423912448,https://twitter.com/JustinTrudeau/status/732718686423912448
2016-05-17 20:05:22,JustinTrudeau,,168,1002,2093,"Good things happen when women & men stand together for gender equality. Best wishes to @WomenDeliver at #WD2016 -SGThttps://amp.twimg.com/v/bc623343-bbe5-427e-9f07-75517af13d89 …",,@WomenDeliver,#WD2016,732663321048932352,https://twitter.com/JustinTrudeau/status/732663321048932352
2016-05-17 20:04:25,JustinTrudeau,,16,103,242,"En s’alliant pour l’égalité, les femmes et les hommes ont tout à gagner. Meilleurs vœux à @WomenDeliver #WD2016 -SGThttps://amp.twimg.com/v/7d07b416-e1d5-46fe-a1bd-82344342632c …",,@WomenDeliver,#WD2016,732663079591280640,https://twitter.com/JustinTrudeau/status/732663079591280640
2016-05-17 14:34:42,JustinTrudeau,,35,619,1075,"…the bill also extends hate-crime sections of the Criminal Code to include those targeted based on gender identity. http://bit.ly/1XiUuGx",,,,732580105478901760,https://twitter.com/JustinTrudeau/status/732580105478901760
2016-05-17 14:34:14,JustinTrudeau,,120,2430,4254,"Today, we’ve tabled a bill to protect Canadians from being discriminated against based on gender identity or gender expression. #FreeToBeMe",,,#FreeToBeMe,732579989175046144,https://twitter.com/JustinTrudeau/status/732579989175046144
2016-05-17 14:32:29,JustinTrudeau,,4,79,145,"…la notion de crime haineux dans le code criminel inclura aussi les crimes liés à l’identité sexuelle #SoisToiMeme http://bit.ly/1TkXJft",,,#SoisToiMeme,732579549146415104,https://twitter.com/JustinTrudeau/status/732579549146415104
2016-05-17 14:31:50,JustinTrudeau,,11,115,276,"Nous avons déposé un projet de loi pour protéger les Can. de la discrimination fondée sur l’identité ou l’expression sexuelle. #SoisToiMême",,,#SoisToiMême,732579385170100224,https://twitter.com/JustinTrudeau/status/732579385170100224
2016-05-17 13:11:24,JustinTrudeau,,103,1460,1956,"Everyone deserves to live free of stigma & persecution, no matter who they are or whom they love. #FreeToBeMe http://bit.ly/1TXikVH",,,#FreeToBeMe,732559142326575108,https://twitter.com/JustinTrudeau/status/732559142326575108
2016-05-17 13:10:24,JustinTrudeau,,11,149,239,"Chacun mérite de vivre sans être stigmatisé ou persécuté, peu importe qui il est ou qui il aime. #SoisToiMêmehttp://bit.ly/1WCsG0U",,,#SoisToiMêmehttp,732558888948600832,https://twitter.com/JustinTrudeau/status/732558888948600832
2016-05-17 00:29:20,JustinTrudeau,,89,293,1599,"I’m pleased to announce I’ll be back at Montreal Pride this summer! #fiertéMTL",,,#fiertéMTL,732367362540732416,https://twitter.com/JustinTrudeau/status/732367362540732416
2016-05-17 00:28:32,JustinTrudeau,,14,91,299,"J'ai le plaisir d'annoncer que je serai de retour à Fierté Montréal cet été ! #fiertéMTL",,,#fiertéMTL,732367159695826944,https://twitter.com/JustinTrudeau/status/732367159695826944
2016-05-16 22:21:20,JustinTrudeau,,234,3043,5816,"We must always work to fight homophobia & transphobia. I’m honoured to be recognized by @fondemergence tonight.pic.twitter.com/St8q2cc91F",,@fondemergence,,732335149434671105,https://twitter.com/JustinTrudeau/status/732335149434671105
2016-05-16 22:20:38,JustinTrudeau,,38,472,770,"Nous devons lutter contre l'homophobie et la transphobie. Je suis honoré de la gratitude de la @fondemergence.pic.twitter.com/UptYmHaisC",,@fondemergence,,732334974708404224,https://twitter.com/JustinTrudeau/status/732334974708404224
2016-05-16 14:39:50,JustinTrudeau,csa_asc,37,186,586,"A stellar choice to carry on Canada’s proud tradition in space. Prepare for liftoff, @Astro_DavidS!https://twitter.com/csa_asc/status/732210131405000704 …",,@Astro_DavidS,,732219009362432000,https://twitter.com/JustinTrudeau/status/732219009362432000
2016-05-16 14:38:56,JustinTrudeau,asc_csa,4,39,135,"Un choix brillant pour perpétuer la fière tradition du Can dans l’espace. Préparez-vous au décollage, @Astro_DavidS!https://twitter.com/asc_csa/status/732209508810928128 …",,@Astro_DavidS,,732218782438051840,https://twitter.com/JustinTrudeau/status/732218782438051840
2016-05-15 22:19:50,JustinTrudeau,,87,2835,6098,"Congratulations @Raptors! On to the Eastern finals. #WeTheNorth",,@Raptors,#WeTheNorth,731972383897227266,https://twitter.com/JustinTrudeau/status/731972383897227266
2016-05-15 22:19:27,JustinTrudeau,,14,261,598,"Félicitations @Raptors! En route vers les finales de l’Est. #WeTheNorth",,@Raptors,#WeTheNorth,731972288430669824,https://twitter.com/JustinTrudeau/status/731972288430669824
2016-05-14 02:11:27,JustinTrudeau,USNorthernCmd,89,92,336,"Congratulations General Robinson. May @NoradNorthcom continue to protect our two countries for years to come.https://twitter.com/noradnorthcom/status/731184454593470464 …",,@NoradNorthcom,,731305897847365633,https://twitter.com/JustinTrudeau/status/731305897847365633
2016-05-14 02:10:38,JustinTrudeau,USNorthernCmd,14,25,92,"Félicitations Générale Robinson. Que @NoradNorthcom continue de protéger nos deux pays dans les prochaines années.https://twitter.com/noradnorthcom/status/731184454593470464 …",,@NoradNorthcom,,731305690149625856,https://twitter.com/JustinTrudeau/status/731305690149625856
2016-05-14 01:13:53,JustinTrudeau,,79,533,1912,"When times are tough, Canadians help each other out. Nice to meet volunteers & fire evacuees tonight in Edmonton.pic.twitter.com/4kYrtYhAmn",,,,731291408930328577,https://twitter.com/JustinTrudeau/status/731291408930328577
2016-05-14 01:13:02,JustinTrudeau,,17,82,288,"Quand les temps sont durs, les Canadiens s’entraident. Ravi d’avoir vu les personnes évacuées & les bénévoles à Edm.pic.twitter.com/tv1GYdvmWe",,,,731291195524165632,https://twitter.com/JustinTrudeau/status/731291195524165632
2016-05-13 22:20:51,JustinTrudeau,,37,187,374,"Today we announce Budget 2016 will extend EI benefits to Edmonton, Southern Interior BC and Southern SK. Details: http://bit.ly/1UZNjmx",,,,731247863666212864,https://twitter.com/JustinTrudeau/status/731247863666212864
2016-05-13 22:20:08,JustinTrudeau,,6,20,66,"Le Budget 2016 étendra les prestations d’AE à Edmonton, à l’Intérieur-Sud de la C.-B. et au sud de la SK. Détails : http://bit.ly/1ZOzqqC",,,,731247684728856576,https://twitter.com/JustinTrudeau/status/731247684728856576
