date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-12-29 19:10:35,theresa_may,,1761,596,4711,"Congratulations to all the recipients of New Year’s Honours today. I particularly want to pay tribute to the emergency service workers and all those who responded to the 2017 terror attacks. Your bravery and strength is truly commendable. #NYhonours",,,#NYhonours,1079092333357031424,https://twitter.com/theresa_may/status/1079092333357031424
2018-12-25 08:00:05,theresa_may,,1772,800,7195,"Wishing you all a peaceful Christmas and a very Happy New Year.pic.twitter.com/e5MKSCPbcJ",,,,1077474046072311809,https://twitter.com/theresa_may/status/1077474046072311809
2018-12-22 22:02:11,theresa_may,,219,538,3888,"It is with great sadness that I have learned of the passing of Lord Ashdown. He dedicated his life to public service and he will be sorely missed. My thoughts and condolences are with his family and friends at this difficult time.",,,,1076598802851733504,https://twitter.com/theresa_may/status/1076598802851733504
2018-12-19 14:31:22,theresa_may,,206,116,473,"Many congratulations to @MarioCreatura on being selected as the Conservative candidate for Croydon Central, and to @Stuart4WolvesSW who was selected for Wolverhampton South West. I know that both will do a fantastic job and will make great Members of Parliament.pic.twitter.com/4JDcTZPVd4",,@MarioCreatura @Stuart4WolvesSW,,1075398188629147654,https://twitter.com/theresa_may/status/1075398188629147654
2018-12-19 11:33:39,theresa_may,,2156,613,2698,"For the first time in decades we’ll have full control over who comes here. A new, skills-based immigration system where workers’ talent and expertise matter, not where they’re from. It’ll attract the brightest and best to a UK open for business and be fair to workers at home.pic.twitter.com/I5ZNo6asUx",,,,1075353464337784832,https://twitter.com/theresa_may/status/1075353464337784832
2018-12-18 16:17:47,theresa_may,,737,297,1635,"At a time when most people are looking forward to a break, everybody at @RoyalMail is working really hard to ensure that all of us enjoy a great Christmas. Thank you for everything you’re doing this festive season.pic.twitter.com/fSg81vHxmk",,@RoyalMail,,1075062580039831553,https://twitter.com/theresa_may/status/1075062580039831553
2018-12-18 10:59:54,theresa_may,,358,139,503,"As part of our #25yearenvironmentplan we’ve launched an ambitious new strategy to eliminate avoidable waste – helping to leave our environment in a better state than we found it. https://www.gov.uk/government/news/gove-launches-landmark-blueprint-for-resources-and-waste …pic.twitter.com/AIrn7C9PSE",,,#25yearenvironmentplan,1074982580968136704,https://twitter.com/theresa_may/status/1074982580968136704
2018-12-17 12:21:46,theresa_may,,708,236,1137,"We said in our manifesto that we would scrap all tolls on the Severn Crossings, and today we have – a #TollFreeSevern is helping drivers with the cost of living.pic.twitter.com/7XJfWgDXDo",,,#TollFreeSevern,1074640797327339520,https://twitter.com/theresa_may/status/1074640797327339520
2018-12-17 10:15:52,theresa_may,,953,279,1024,"I’m proud that we are announcing the biggest reform of workers’ rights in a generation – helping to deliver an economy that works for everyone.https://www.huffingtonpost.co.uk/entry/workers-rights_uk_5c174c75e4b049efa753b6ef …",,,,1074609114280587264,https://twitter.com/theresa_may/status/1074609114280587264
2018-12-14 19:35:03,theresa_may,itvmeridian,361,190,1092,"The story behind the opening of @alexanderdevine’s new hospice is truly inspirational. It’s about two people who suffered a terrible tragedy, and from that saw that they could bring hope, support and comfort to others. I was honoured to help to open their new facility today.https://twitter.com/itvmeridian/status/1073646730619564032 …",,@alexanderdevine,,1073662672716132353,https://twitter.com/theresa_may/status/1073662672716132353
2018-12-14 17:21:54,theresa_may,,1179,745,3972,"It’s been 100 years since the first UK election in which women were able to vote. I am proud of the progress we’ve made in ensuring women's voices are heard, and I am personally committed to ensuring women seize opportunities to enter politics.pic.twitter.com/xdN0Araguy",,,,1073629164639543296,https://twitter.com/theresa_may/status/1073629164639543296
2018-12-13 17:35:01,theresa_may,,1469,476,1944,"The police will always have the resources they need to do their work – today we have announced the largest increase in police funding since 2010. That’s more money for local police forces, counter-terrorism and tackling serious and organised crime.pic.twitter.com/3vxeojz2Y7",,,,1073270078509105152,https://twitter.com/theresa_may/status/1073270078509105152
2018-12-12 13:44:09,theresa_may,,2284,627,2609,"Labour’s policies would be devastating to businesses and working families across our country. By contrast, under this Government wages are growing, unemployment is falling and we are delivering a Brexit deal that is good for our economy. #PMQspic.twitter.com/YkvbGgHC6B",,,#PMQspic,1072849588376231936,https://twitter.com/theresa_may/status/1072849588376231936
2018-12-11 22:41:37,theresa_may,,865,808,5418,"Shocked and saddened by the terrible attack in Strasbourg. My thoughts are with all of those affected and with the French people.",,,,1072622458954543105,https://twitter.com/theresa_may/status/1072622458954543105
