date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-27 13:10:26,lopezobrador_,,3030,3360,11275,2019 concluded with good results; there will be no unpleasant surprises for 2020 economically. matutina.https Conference: //www.pscp.tv/w/cNX6QjF4TlFhYWVySmVhUWJ8MWVhS2JBeldPblp4WC1PKlbk6v55JvAHYrQIm8YYZmpQXHfBcESHIxhSQBWV ...,,,,1210548492831035392,https://twitter.com/lopezobrador_/status/1210548492831035392
2019-12-26 13:02:15,lopezobrador_,,1256,2562,8890,Utopia makes us walk towards justice is to have a welfare state. matutina.https Conference: //www.pscp.tv/w/cNSm1zF4TlFhYWVySmVhUWJ8MVBsSlFWTm1aelp4ReXVPb0jLYbERECQoR9scF5fWssyoAxIYDEXHoxIXZ5E ...,,,,1210184048334663680,https://twitter.com/lopezobrador_/status/1210184048334663680
2019-12-25 01:30:00,lopezobrador_,,5793,9420,39546,"My family and I wish all the Mexican union, love and happiness this holiday season decembrinas.pic.twitter.com/w8stjFw3aa",,,,1209647447737126913,https://twitter.com/lopezobrador_/status/1209647447737126913
2019-12-24 13:11:01,lopezobrador_,,1244,2825,9501,We call for solidarity. You can not celebrate Christmas without humanism. matutina.https Conference: //www.pscp.tv/w/cNIF5TF4TlFhYWVySmVhUWJ8MXZBeFJxcnBCZFJKbF1MLdcAqqc7VIm_3435N8njontZVnNxVpjXRkpEkF7Z ...,,,,1209461476076863489,https://twitter.com/lopezobrador_/status/1209461476076863489
2019-12-23 21:09:26,lopezobrador_,,823,2803,9028,"The Issuer East Tunnel largely avoid flooding in Mexico City. Our recognition of workers, servants of Conagua, entrepreneurs and governments of Hidalgo, Edomex and CDMX that made possible the construction of this advanced system drenaje.pic.twitter.com/okc4ZdEw6E",,,,1209219486122950671,https://twitter.com/lopezobrador_/status/1209219486122950671
2019-12-23 13:09:45,lopezobrador_,,1110,2171,7162,Stuns power when no ideals. matutina.https Conference: //www.pscp.tv/w/cNC0GTF4TlFhYWVySmVhUWJ8MVprS3pBbUJqUW94dlPMlkHAUwBi9NccrwICfqsW0j2h0Va5B01SW8W39GhL ...,,,,1209098771017023488,https://twitter.com/lopezobrador_/status/1209098771017023488
2019-12-23 00:13:23,lopezobrador_,,580,2150,7998,"At the end of the tour CFE power plants in Queretaro, Michoacan and Colima, I reiterate the commitment that there will be no blackouts and to maintain price increases light. Justicia.pic.twitter.com/QE6EKgaVDo will still progress",,,,1208903391084081152,https://twitter.com/lopezobrador_/status/1208903391084081152
2019-12-22 02:08:48,lopezobrador_,,2173,5579,20340,"Yes to sport, not the drogas.pic.twitter.com/NVB80j30Vr",,,,1208570051130998784,https://twitter.com/lopezobrador_/status/1208570051130998784
2019-12-20 22:33:18,lopezobrador_,,6266,3450,17804,"We were at the power station El Sauz and had to eat barbecue Santiago de Palmillas. In my case, I consomme and rib tatemada in the comal. Bon appetit! Pic.twitter.com/hZLePcII5E",,,,1208153430570733569,https://twitter.com/lopezobrador_/status/1208153430570733569
2019-12-20 13:03:47,lopezobrador_,,1204,2404,7936,Austerity is to reduce the cost of government to society. matutina.https Conference: //www.pscp.tv/w/cMy-MzF4TlFhYWVySmVhUWJ8MW1ueGV6UUV3RExLWNFahoCvRSJ8sfB8zA8qkm4fz7BRXpUnPp-dqLy29Lk9 ...,,,,1208010106857644033,https://twitter.com/lopezobrador_/status/1208010106857644033
2019-12-19 22:26:01,lopezobrador_,,1962,5521,18733,"And the T-MEC was passed in the House of Representatives 385 votes in favor, 41 against and 5 abstentions. We are well and buenas.pic.twitter.com/rkliWKRPWm",,,,1207789209295171585,https://twitter.com/lopezobrador_/status/1207789209295171585
2019-12-19 13:02:32,lopezobrador_,,1332,2202,7600,We have excellent conditions for there to be growth and welfare in the country. matutina.https Conference: //www.pscp.tv/w/cMtsaDF4TlFhYWVySmVhUWJ8MVlxS0RuRWxiTXZKVm-7F0hAHtn4bO6eWPjz5X_GP4pKzlhm1jjRbIU7fVdA ...,,,,1207647403211255809,https://twitter.com/lopezobrador_/status/1207647403211255809
